DOI,Title,Type
10.1158/0008-5472.can-22-0571,Challenges of Using IFNγ in Clinical Settings,journal-article
10.1158/1538-7445.sabcs22-pd18-09,Abstract PD18-09: ACE-Breast-03: Efficacy and safety of ARX788 in patients with HER2+ metastatic breast cancer previously treated with T-DM1,journal-article
10.1158/1538-7445.am2023-nd11,Abstract ND11: EO-3021: An antibody drug conjugate targeting CLDN18.2 expressing cancers,journal-article
10.1158/1538-7445.am2023-1875,Abstract 1875: A novel T-cell-engaging therapeutical antibody against GPRC5D&amp;BCMA for multiple myeloma treatment,journal-article
10.1158/1538-7445.metastasis22-b021,Abstract B021: Piezo1 and ROCK2 promote fast amoeboid migration in confined environments,journal-article
10.1158/1538-7445.am2023-1238,Abstract 1238: Loss of HSPD1 induces cellular plasticity in triple-negative breast cancer cells,journal-article
10.1158/2159-8290.cd-22-1377,N-of-1 Trials in Cancer Drug Development,journal-article
10.1158/1538-7445.am2023-3401,"Abstract 3401: Discovery of GH658, a novel tead allosteric inhibitor as a cancer therapy",journal-article
10.1158/1538-7445.am2023-4964,Abstract 4964: SW-682: A novel TEAD inhibitor for the treatment of cancers bearing mutations in the Hippo signaling pathway,journal-article
10.1158/1538-7445.am2023-6174,"Abstract 6174: ATX-101, a peptide drug targeting PCNA, enhances the effect of gemcitabine in liposarcoma and leiomyosarcoma",journal-article
10.1158/1078-0432.ccr-22-3626,The Emerging Role of Circulating Tumor DNA in Non-Colorectal Gastrointestinal Cancers,journal-article
10.1158/2326-6066.cir-22-0927,Combination IFNβ and Membrane-Stable CD40L Maximize Tumor Dendritic Cell Activation and Lymph Node Trafficking to Elicit Systemic T-cell Immunity,journal-article
10.1158/2326-6066.cir-22-0296,"Breast Cancer Stem Cell–Derived Tumors Escape from γδ T-cell Immunosurveillance
                    <i>In Vivo</i>
                    by Modulating γδ T-cell Ligands",journal-article
10.1158/2326-6066.cir-22-0912,Tumor Cell–Intrinsic c-Myb Upregulation Stimulates Antitumor Immunity in a Murine Colorectal Cancer Model,journal-article
10.1158/2767-9764.crc-23-0027,Ewing Sarcoma Single-cell Transcriptome Analysis Reveals Functionally Impaired Antigen-presenting Cells,journal-article
10.1158/2767-9764.crc-22-0140,Immune-related Adverse Events after Immune Checkpoint Blockade–based Therapy Are Associated with Improved Survival in Advanced Sarcomas,journal-article
10.1158/2767-9764.crc-21-0186,Small-molecule PTPN2 Inhibitors Sensitize Resistant Melanoma to Anti-PD-1 Immunotherapy,journal-article
10.1158/2767-9764.crc-23-0109,"Effects and Eradication of
                    <i>Mycoplasma</i>
                    Contamination on Patient-derived Colorectal Cancer Organoid Cultures",journal-article
10.1158/1055-9965.epi-23-1018,Potential for Cure by Stage across the Cancer Spectrum in the United States,journal-article
10.1158/2159-8290.cd-22-0825,"<i>(R)</i>
                    -2-Hydroxyglutarate Inhibits KDM5 Histone Lysine Demethylases to Drive Transformation in
                    <i>IDH</i>
                    -Mutant Cancers",journal-article
10.1158/2159-8290.cd-23-0704,"Allosteric PI3Kα Inhibition Overcomes On-target Resistance to Orthosteric Inhibitors Mediated by Secondary
                    <i>PIK3CA</i>
                    Mutations",journal-article
10.1158/1541-7786.mcr-22-0593,"BLEACH&amp;STAIN 15-marker Multiplexed Imaging in 3,098 Human Carcinomas Reveals Six Major PD-L1–driven Immune Phenotypes with Distinct Spatial Orchestration",journal-article
10.1158/1541-7786.mcr-22-0907,Truncation of GalNAc-type O-glycans Suppresses CD44-mediated Osteoclastogenesis and Bone Metastasis in Breast Cancer,journal-article
10.1158/2326-6066.cir-22-0533,FOXO1 Inhibition Generates Potent Nonactivated CAR T Cells against Solid Tumors,journal-article
10.1158/2767-9764.crc-22-0401,Phase Ib/II Study of a Liposomal Formulation of Eribulin (E7389-LF) plus Nivolumab in Patients with Advanced Solid Tumors: Results from Phase Ib,journal-article
10.1158/2767-9764.crc-23-0072,Salvage Ipilimumab plus Nivolumab after Anti-PD-1/PD-L1 Therapy in Advanced Hepatocellular Carcinoma,journal-article
10.1158/2643-3230.bcd-23-0014,Clinical Correlates of Venetoclax-Based Combination Sensitivities to Augment Acute Myeloid Leukemia Therapy,journal-article
10.1158/1535-7163.mct-22-0643,Targeting Senescence as a Therapeutic Opportunity for Triple-Negative Breast Cancer,journal-article
10.1158/1078-0432.ccr-22-3168,"Randomized, Double-Blind, Placebo-Controlled Trial of MUC1 Peptide Vaccine for Prevention of Recurrent Colorectal Adenoma",journal-article
10.1158/1078-0432.ccr-22-3179,Protein Kinase B (PKB/AKT) Protects IDH-Mutated Glioma from Ferroptosis via Nrf2,journal-article
10.1158/1078-0432.ccr-22-3334,National Cancer Institute Combination Therapy Platform Trial with Molecular Analysis for Therapy Choice (ComboMATCH),journal-article
10.1158/1078-0432.ccr-23-2585,Backfilling Patients in Phase I Dose-Escalation Trials Using Bayesian Optimal Interval Design (BOIN),journal-article
10.1158/1078-0432.ccr-22-3714,"Clinical Importance of the lncRNA
                    <i>NEAT1</i>
                    in Cancer Patients Treated with Immune Checkpoint Inhibitors",journal-article
10.1158/1078-0432.ccr-23-0447,Plasma 25-Hydroxyvitamin D Levels and Survival in Stage III Colon Cancer: Findings from CALGB/SWOG 80702 (Alliance),journal-article
10.1158/1078-0432.ccr-23-0252,Intravenous N-Acetylcysteine to Prevent Cisplatin-Induced Hearing Loss in Children: A Nonrandomized Controlled Phase I Trial,journal-article
10.1158/1078-0432.ccr-23-0036,Devimistat in Combination with Gemcitabine and Cisplatin in Biliary Tract Cancer: Preclinical Evaluation and Phase Ib Multicenter Clinical Trial (BilT-04),journal-article
10.1158/1078-0432.ccr-23-0163,Development of Resistance to Type II JAK2 Inhibitors in MPN Depends on AXL Kinase and Is Targetable,journal-article
10.1158/1078-0432.ccr-23-0182,"Multicenter Phase I Trial of Ivosidenib as Maintenance Treatment Following Allogeneic Hematopoietic Cell Transplantation for
                    <i>IDH1</i>
                    -Mutated Acute Myeloid Leukemia",journal-article
10.1158/1078-0432.ccr-23-1796,"Phase Ia/b Study of Giredestrant ± Palbociclib and ± Luteinizing Hormone-Releasing Hormone Agonists in Estrogen Receptor–Positive, HER2-Negative, Locally Advanced/Metastatic Breast Cancer",journal-article
10.1158/1078-0432.ccr-23-1531,Selective DNA-PK Inhibition Enhances Chemotherapy and Ionizing Radiation Activity in Soft-Tissue Sarcomas,journal-article
10.1158/1078-0432.ccr-23-1173,"Paclitaxel plus Eftilagimod Alpha, a Soluble LAG-3 Protein, in Metastatic, HR+ Breast Cancer: Results from AIPAC, a Randomized, Placebo Controlled Phase IIb Trial",journal-article
10.1158/1078-0432.ccr-22-2595,"Maveropepimut-S, a DPX-Based Immune-Educating Therapy, Shows Promising and Durable Clinical Benefit in Patients with Recurrent Ovarian Cancer, a Phase II Trial",journal-article
10.1158/1078-0432.ccr-22-2270,"Genetic Heterogeneity and Tissue-specific Patterns of Tumors with Multiple
                    <i>PIK3CA</i>
                    Mutations",journal-article
10.1158/1055-9965.epi-23-0289,Racial and Ethnic Variation in Diagnostic Mammography Performance among Women Reporting a Breast Lump,journal-article
10.1158/1055-9965.epi-23-0679,"Incident Cardiovascular Disease Risk among Older Asian, Native Hawaiian and Pacific Islander Breast Cancer Survivors",journal-article
10.1158/1055-9965.epi-22-1020,"Elevated
                    <i>EVL</i>
                    Methylation Level in the Normal Colon Mucosa Is a Potential Risk Biomarker for Developing Recurrent Adenomas",journal-article
10.1158/1055-9965.epi-23-0265,"Risk of Colorectal Cancer and Colorectal Cancer Mortality Beginning One Year after a Negative Fecal Occult Blood Test, among Screen-Eligible 76- to 85-Year-Olds",journal-article
10.1158/0008-5472.can-22-1549,"<i>RBM10</i>
                    Loss Promotes
                    <i>EGFR</i>
                    -Driven Lung Cancer and Confers Sensitivity to Spliceosome Inhibition",journal-article
10.1158/1538-7445.am2023-5881,Abstract 5881: PERIO-01: Initial safety experience and immunologic effects of a Class C TLR9 agonist using pressure- enabled drug delivery in a phase 1 trial of hepatic arterial infusion of SD-101 +/- checkpoint inhibition in metastatic uveal melanoma,journal-article
10.1158/1538-7445.sabcs22-p6-10-07,Abstract P6-10-07: CDK2 inhibition with BLU-222 in combination with ribociclib demonstrates robust antitumor activity in pre-clinical models of CDK4/6 inhibitor-naïve and -resistant HR+/HER2- breast cancer,journal-article
10.1158/1535-7163.mct-22-0766,"Correction: Novel Pyrrolo[3,2-<i>d</i>]Pyrimidine Compounds Target Mitochondrial and Cytosolic One-Carbon Metabolism with Broad-spectrum Antitumor Efficacy",journal-article
10.1158/1538-7445.am2023-lb030,"Abstract LB030: SHR-A1921, a novel TROP-2 ADC with an optimized design and well-balanced profile between efficacy and safety",journal-article
10.1158/1538-7755.disp22-a118,Abstract A118: Uptake of cervical cancer screening services in urban Zimbabwe: Healthcare provider perspectives,journal-article
10.1158/0008-5472.can-22-3113,"Whole Slide Imaging-Based Prediction of
                    <i>TP53</i>
                    Mutations Identifies an Aggressive Disease Phenotype in Prostate Cancer",journal-article
10.1158/1535-7163.mct-23-0353,Development of a Novel CLDN18.2-directed Monoclonal Antibody and Antibody–Drug Conjugate for Treatment of CLDN18.2-Positive Cancers,journal-article
10.1158/1535-7163.mct-22-0681,"A Novel Irreversible TEAD Inhibitor, SWTX-143, Blocks Hippo Pathway Transcriptional Output and Causes Tumor Regression in Preclinical Mesothelioma Models",journal-article
10.1158/1078-0432.ccr-22-3573,Landscape of Baseline and Acquired Genomic Alterations in Circulating Tumor DNA with Abemaciclib Alone or with Endocrine Therapy in Advanced Breast Cancer,journal-article
10.1158/0008-5472.can-22-4017,SENP1 Decreases RNF168 Phase Separation to Promote DNA Damage Repair and Drug Resistance in Colon Cancer,journal-article
10.1158/1538-7445.am2023-3373,Abstract 3373: Deep learning for circulating tumor cell (CTC) identification with the CELLSEARCH system: achieving top human-level performance,journal-article
10.1158/1538-7445.am2023-6361,"Abstract 6361: A preclinical model of acquired anti-PD-1 resistance is responsive to SEA-TGT, an effector-function enhanced anti-TIGIT monoclonal antibody",journal-article
10.1158/1078-0432.ccr-23-1872,Cooperative Armoring of CAR and TCR T Cells by T Cell–Restricted IL15 and IL21 Universally Enhances Solid Tumor Efficacy,journal-article
10.1158/1078-0432.ccr-22-3145,Adjuvant Nivolumab versus Ipilimumab in Resected Stage III/IV Melanoma: 5-Year Efficacy and Biomarker Results from CheckMate 238,journal-article
10.1158/0008-5472.can-22-3682,CD36 Drives Metastasis and Relapse in Acute Myeloid Leukemia,journal-article
10.1158/0008-5472.can-23-2858,Citron Kinase Is a Druggable Target in Treatment-Resistant Prostate Cancer,journal-article
10.1158/0008-5472.can-23-1079,Small Cell Lung Cancer Plasticity Enables NFIB-Independent Metastasis,journal-article
10.1158/1541-7786.mcr-23-0411,Updating the Definition of Cancer,journal-article
10.1158/1538-7445.sabcs22-p2-11-35,"Abstract P2-11-35: A tight junctional scaffold protein MUPP1/MPDZ and its docking proteins, angiomotins in breast cancer",journal-article
10.1158/1538-7445.sabcs22-p6-08-12,"Abstract P6-08-12: Toward Comprehensive Cancer Prevention for Women Experiencing Homelessness: Demonstrating the Need for Onsite Mammography, Education, Navigation, and Cross Cancer Screenings",journal-article
10.1158/1538-7445.sabcs22-p6-04-15,Abstract P6-04-15: AI-based prediction of tertiary lymphoid structures and lymphocyte immune infiltration in breast carcinomas,journal-article
10.1158/1538-7445.sabcs22-p6-12-05,Abstract P6-12-05: The role of endothelial-specific AXL and its associated signaling pathways in the tumor microenvironment,journal-article
10.1158/2159-8290.cd-rw2023-023,Primary Solid Tumors Have Slow TCA Flux and ATP Production,journal-article
10.1158/1538-7445.sabcs22-p6-05-46,Abstract P6-05-46: Project SOAR (Speaking Our African American Realities): A qualitative study of the Strong Black Woman schema in the breast cancer context,journal-article
10.1158/1538-7445.sabcs22-tc1-3-1,Abstract TC1-3-1: Ki 67 Ki67 – a clinically relevant biomarker or just <i>nice to have</i> information?,journal-article
10.1158/1538-7445.sabcs22-p6-01-13,Abstract P6-01-13: Identification of Protein Biomarkers for Early Detection and Stratification of Triple Negative Breast Cancer,journal-article
10.1158/1538-7445.sabcs22-p5-03-14,Abstract P5-03-14: Prevalence of germline BRCA mutations in unselected Korean patients with HER2-negative breast cancer: A Prospective cohort study,journal-article
10.1158/1538-7445.sabcs22-ot2-10-06,"Abstract OT2-10-06: Phase III study to evaluate the efficacy and safety of GLSI-100 (GP2 + GM-CSF) in breast cancer patients with residual disease or high-risk PCR after both neo-adjuvant and postoperative adjuvant anti-HER2 therapy, Flamingo-01",journal-article
10.1158/1538-7445.sabcs22-pd1-10,"Abstract PD1-10: Impact of Race on Clinical, Socioeconomic, and Genomic Characteristics, Clinical Trial Participation, and Receipt of Genotype-matched Therapy Among Patients with Metastatic Breast Cancer",journal-article
10.1158/1538-7445.sabcs22-p5-02-47,Abstract P5-02-47: Quantitative proteomic analysis of plasma exosomes from patients with advanced hormone receptor-positive/HER2-negative breast cancer receiving palbociclib and tamoxifen,journal-article
10.1158/1538-7445.sabcs22-p6-01-34,Abstract P6-01-34: Longitudinal DCE-MRI Radiomic Models for Early Prediction of Response to Neoadjuvant Systemic Therapy (NAST) in Triple Negative Breast Cancer (TNBC) Patients,journal-article
10.1158/1538-7445.sabcs22-p1-06-07,Abstract P1-06-07: Interrogating the Molecular Profile of Breast Cancer Tumors in Hispanics Living in Puerto Rico (PRH),journal-article
10.1158/1538-7445.sabcs22-p1-10-10,Abstract P1-10-10: Radiation Treatment Patterns for Elderly Women with Breast Cancer Brain Metastases,journal-article
10.1158/1538-7445.sabcs22-p6-01-04,Abstract P6-01-04: The Hierarchy of Biomarkers,journal-article
10.1158/1538-7445.am2023-3775,"Abstract 3775: Multi-omic spatial analysis with simultaneous detection of small RNAs, mRNAs and proteins using the novel RNAscope™ Plus technology",journal-article
10.1158/1538-7445.sabcs22-p5-02-19,Abstract P5-02-19: ctDNA as dynamic marker of response to fulvestrant and everolimus in CDK4/6 inhibitor-pretreated ER+ HER2- metastatic breast cancer patients: a prospective study,journal-article
10.1158/1538-7445.am2023-5742,Abstract 5742: Pharmacologic modulation of RNA splicing enhances anti-tumor immunity,journal-article
10.1158/1940-6207.capr-16-8-hfl,Editors' Selections from Relevant Scientific Publications,journal-article
10.1158/1538-7755.disp23-b025,"Abstract B025: A multi-omic, spatial approach using patient prostatectomies to identify actionable drug targets for combatting prostate cancer health disparities",journal-article
10.1158/1538-7445.am2023-3149,Abstract 3149: Prediction of metabolic drug targets for cancer patients with poor prognosis by using genome-scale metabolic models and survival analyses,journal-article
10.1158/1538-7445.am2023-1708,"Abstract 1708: Sex-biased function of an oncogene, <i>YAP1</i>, regulates medulloblastoma stem cells and immune evasion",journal-article
10.1158/1538-7445.am2023-6350,Abstract 6350: Monoclonal antibody against BST2 isoform: potential tool for diagnostic and cancer therapy,journal-article
10.1158/1538-7445.am2023-6469,Abstract 6469: Associations between serum iron levels and breast cancer tumor size,journal-article
10.1158/1538-7445.am2023-1300,Abstract 1300: Single-cell and spatial transcriptomic profiling reveal the cascade of immune events during progression and metastasis of non-small cell lung cancer,journal-article
10.1158/1538-7445.am2023-1475,Abstract 1475: FOXO transcription factors regulate WNT pathway gene expression in GBM,journal-article
10.1158/1538-7445.am2023-1380,Abstract 1380: Blocking autophagy ameliorates the severity of ConA induced autoimmune hepatitis in mice,journal-article
10.1158/1538-7445.am2023-5221,Abstract 5221: Identifying acute lymphoblastic leukemia risk loci in latino children via admixture mapping,journal-article
10.1158/1538-7445.am2023-3341,"Abstract 3341: Preliminary clinical validation of COLO eDX, a novel plasma circulating tumor DNA methylation assay for detecting colorectal cancer",journal-article
10.1158/1538-7445.am2023-6288,"Abstract 6288: Discovery and characterization of potent, selective CBP degraders",journal-article
10.1158/1538-7445.am2023-1865,"Abstract 1865: Development of CTIM-76, a highly specific Claudin 6 bispecific antibody for treatment of ovarian cancer",journal-article
10.1158/1538-7445.am2023-1868,"Abstract 1868: Novel immune checkpoint inhibitor: <i>In vivo</i> and <i>in vitro</i> efficacy of anti-CNTN4 antibody, GENA-104A16 in the models with increased CNTN4 expression",journal-article
10.1158/1538-7445.am2023-3349,Abstract 3349: Discovery and validation of methylated DNA markers of upper tract urothelial tract cancers,journal-article
10.1158/1538-7445.am2023-1215,Abstract 1215: Synthetic colibactins reveal the structural and biological mode-of-action of a microbial carcinogen,journal-article
10.1158/1538-7445.am2023-4852,Abstract 4852: Metabolomic rewiring in endocrine therapy resistant estrogen receptor positive breast cancer,journal-article
10.1158/1538-7445.am2023-2033,Abstract 2033: Assessment of human reference genomes on cancer somatic mutation detection in tumor-normal paired reference samples using whole genome short-read sequencing data,journal-article
10.1158/1538-7445.am2023-4866,Abstract 4866: Pharmacological mechanisms of osimertinib in advanced non-small lung cancer bearing the deletion exon 19 of <i>EGFR</i> In an original chicken chorioallantoic membrane (CAM) Model,journal-article
10.1158/1538-7445.am2023-6381,Abstract 6381: Quantitative multiplex analysis of soluble and cellular immune checkpoint proteins in response to interferon gamma across multiple murine tumor models,journal-article
10.1158/1538-7445.am2023-3487,Abstract 3487: An atlas of substrate specificities for the human tyrosine kinome,journal-article
10.1158/1538-7445.am2023-1942,Abstract 1942: Effectiveness of community outreach/engagement and faith-based strategies among African American &amp; African Nationals to increase cancer clinical trials participation using a culturally tailored educational manual,journal-article
10.1158/1538-7445.am2023-4593,Abstract 4593: Glioblastoma tumors that respond poorly to bevacizumab therapy show upregulation of an angiogenesis gene set,journal-article
10.1158/1538-7445.am2023-1919,"Abstract 1919: Cancer Wellness Hubs: A pop-up information model to reduce cancer disparities in medically-underserved, minority communities",journal-article
10.1158/1538-7445.am2023-3458,Abstract 3458: Resistance to selective FGFR inhibitors in <i>FGFR</i>-driven urothelial cancer,journal-article
10.1158/1538-7445.am2023-4024,Abstract 4024: Overcoming ALK resistance with covalent cysteine-reactive inhibitors in lung cancer,journal-article
10.1158/1538-7445.am2023-1102,Abstract 1102: Establishing the cytotoxic benefit of Tumor Treating Fields on radiation sensitive and acquired radiation resistant glioblastoma patient derived xenograft pairs,journal-article
10.1158/1538-7445.am2023-2549,Abstract 2549: Targeting PI3Kinase AKT pathway and anti-apoptotic protein XIAP in chemotherapy-resistant colorectal cancer cells,journal-article
10.1158/1538-7445.am2023-391,Abstract 391: Adenylosuccinate lyase enzyme is essential for growth of endocrine therapy resistant ER+ breast cancer cells,journal-article
10.1158/1538-7445.am2023-6570,Abstract 6570: Integrative pan-cancer genomic and transcriptomic analyses of refractory metastatic cancer,journal-article
10.1158/1538-7445.am2023-3682,Abstract 3682: Glutamine addiction of c-MAF overexpressing cells drives dysregulation of purine metabolism,journal-article
10.1158/1538-7445.am2023-6047,Abstract 6047: ZFTA-RELA fusion aberrantly drives glutamine metabolism in lethal pediatric ependymomas,journal-article
10.1158/1538-7445.am2023-2870,Abstract 2870: Inhibition of DNA methylation and histone deacetylation synergistically reprograms M2-polarized macrophages and inhibits tumor growth by upregulating miR-7083-5p,journal-article
10.1158/1538-7445.am2023-6175,Abstract 6175: CDK8 inhibition potentiates the efficacy of niraparib in homologous recombination proficient cancer cell lines,journal-article
10.1158/1538-7445.am2023-3706,Abstract 3706: The significance of cholesteryl ester profiles in hepatocellular carcinoma,journal-article
10.1158/1538-7445.am2023-1963,Abstract 1963: Characterization of thyroid cancer among Hispanics in California,journal-article
10.1158/1538-7445.am2023-6278,Abstract 6278: Combination therapeutic strategy with type I PRMT inhibition in cancer treatment,journal-article
10.1158/1538-7445.am2023-618,Abstract 618: CRISPR screening identifies the deubiquitylase ATXN3 as a PD-L1 positive regulator for tumor immune evasion,journal-article
10.1158/1538-7445.am2023-4377,Abstract 4377: Economic burden of lung cancer patients in the emergency department,journal-article
10.1158/1538-7445.am2023-4393,Abstract 4393: Tumor volumetric analysis to correlate disease burden with response to dual immune checkpoint blockade in metastatic NSCLC,journal-article
10.1158/1538-7445.am2023-4896,Abstract 4896: NF1 (neurofibromatosis 1) controls microtubule dynamics and dictates sensitivity to maytansinoids,journal-article
10.1158/1538-7445.am2023-87,Abstract 87: The role of miro1-mediated mitochondrial positioning in the development and metastasis of breast cancer,journal-article
10.1158/1538-7445.am2023-5106,Abstract 5106: The addition of radiation therapy to simultaneous targeting of PD-1 and IL2Rβγ enhances antigen-specific CD8 T cell anti-tumor immunity in pancreatic cancer models,journal-article
10.1158/1538-7445.am2023-4904,Abstract 4904: Glutamine antagonist DRP-104 enhances anti-tumor responses in <i>KEAP1</i> mutant lung cancer,journal-article
10.1158/1538-7445.am2023-6772,Abstract 6772: Powerful background reduction in fluorescent tissue stains with an improved proximity-based technology for detection of protein-protein interactions,journal-article
10.1158/1538-7445.am2023-1261,Abstract 1261: Mutant IDH-mediated suppression of the Th17 lineage in glioma: Biologic impact and therapeutic potential,journal-article
10.1158/1538-7445.am2023-5310,Abstract 5310: An expanded quantitative protein expression atlas of human cancers,journal-article
10.1158/1538-7445.am2023-3933,Abstract 3933: RRM2 inhibition by COH29 is a potential therapeutic strategy for atypical teratoid rhabdoid tumors,journal-article
10.1158/1538-7445.am2023-4083,Abstract 4083: <i>In vivo</i> efficacy of LGR5-targeting CAR-T cell therapies developed for the treatment of colorectal cancer,journal-article
10.1158/1538-7445.am2023-5200,Abstract 5200: Novel Immuno-Oncology drugs evaluation by humanised immune cells and cancer co-inoculated models,journal-article
10.1158/1538-7445.am2023-6149,Abstract 6149: STAT3 activation promotes invasiveness and cancer stemness in lung cancer,journal-article
10.1158/1538-7445.am2023-3559,Abstract 3559: Understanding Ewing sarcoma cell fate,journal-article
10.1158/1538-7445.am2023-3972,Abstract 3972: Novel renal cell carcinoma therapy targeting glutaminolysis,journal-article
10.1158/1538-7445.am2023-3613,Abstract 3613: Effect of thrombomodulin and plasminogen interaction on melanoma spheroid invasion,journal-article
10.1158/1538-7445.am2023-4405,"Abstract 4405: Tumor mutational burden, as a potential predictive marker for the efficacy of immunotherapy in advanced gastric cancer",journal-article
10.1158/1538-7445.am2023-5467,Abstract 5467: Single-cell analysis of CD34-enriched blood cells reveals early prognostic markers of myelodysplastic syndromes,journal-article
10.1158/1538-7445.am2023-3353,Abstract 3353: Cell-free DNA (cfDNA) fragmentation profiles linked to copy number alteration analysis allows for early colorectal cancer detection,journal-article
10.1158/1538-7445.am2023-5906,Abstract 5906: Gut microbiota signatures are associated with immunotherapy induced cognitive decline and neurotoxicity,journal-article
10.1158/1538-7445.am2023-1906,Abstract 1906: MSH3: An underestimated DNA MMR gene in colorectal carcinogenesis and its potential role in disparity,journal-article
10.1158/1538-7445.am2023-3394,Abstract 3394: Simultaneous targeting of the PDZ1 and PDZ2 domains of MDA-9 inhibits melanoma metastasis,journal-article
10.1158/1538-7445.am2023-3022,Abstract 3022: Prospective study of circulating metabolomic signatures and breast cancer incidence among predominantly premenopausal women,journal-article
10.1158/1538-7445.am2023-2708,Abstract 2708: Nano-immunotherapy: efficacy of nanoconjugate QN-247 in a triple negative breast cancer (TNBC) mouse model,journal-article
10.1158/1538-7445.am2023-2711,Abstract 2711: Smart encapsulation of a MEK inhibitor into M2-9SLP/mApoE-liposomes for specific GBM targeting,journal-article
10.1158/1538-7445.am2023-4265,Abstract 4265: Humanized 3D tumor models that are mutationally aligned with AACR GENIE patients predict IMM-1-104 activity in RAS-addicted tumors,journal-article
10.1158/1538-7445.am2023-2541,Abstract 2541: Heterogeneity of VDAC2-Bak/Bax mediated mitochondrial apoptosis can be exploited to develop effective and selective treatment against metastatic uveal melanoma,journal-article
10.1158/1538-7445.am2023-3124,Abstract 3124: Identification of sub-clonal loss of heterozygosity (LOH) in glioblastomas analyzed with spatial transcriptomics,journal-article
10.1158/1538-7445.am2023-5945,Abstract 5945: Transcriptional analysis of TME in MC38 colon carcinoma model following checkpoint inhibition,journal-article
10.1158/1538-7445.am2023-4375,"Abstract 4375: A bootstrapping method to optimize go/no-go decisions from single-arm, signal-finding studies in oncology",journal-article
10.1158/1538-7445.am2023-4560,Abstract 4560: Assay-ready tissue-engineered cancer microspheres for high-throughput screening,journal-article
10.1158/1538-7445.am2023-3919,Abstract 3919: SHP2-DDX3X complexes contribute to translational control of CD274 mRNA in KRAS-active non-small cell lung cancer,journal-article
10.1158/1538-7445.am2023-2830,Abstract 2830: Fluoxetine mediate radiosensitivity and inhibit metastasis of osteosarcoma cells via RANK/RANKL signaling,journal-article
10.1158/1538-7445.am2023-486,Abstract 486: Characterization of a novel series of highly selective PARP7 inhibitors,journal-article
10.1158/1538-7445.am2023-395,Abstract 395: Resistance to tyrosine kinase inhibitor confers an immunosuppressive microenvironment and cross-resistance to immunotherapy through AXL/PDPK1 axis in liver cancer,journal-article
10.1158/1538-7445.am2023-3561,Abstract 3561: Recurrent genetic alterations in epigenetic pineoblastoma subtypes,journal-article
10.1158/1538-7445.am2023-4450,Abstract 4450: SOX4 promotes tumor development and immune evasion via disruption of zinc homeostasis between nasopharyngeal carcinoma cells and T cells,journal-article
10.1158/1538-7445.am2023-139,Abstract 139: Exploiting interactions between ploidy and host physiology,journal-article
10.1158/1538-7445.am2023-4577,Abstract 4577: An innovative platform to mimic the tumoral vascular microenvironment (TME) of patients with metastatic colorectal cancer (mCRC) using bioprinted hydrogel microfluidics,journal-article
10.1158/1538-7445.am2023-5573,Abstract 5573: Use of circulating tumor DNA (ctDNA) for early assessment of treatment response in patients with non-small cell lung cancer (NSCLC): A real-world (RW) analysis incorporating baseline ctDNA level and molecular response,journal-article
10.1158/1538-7445.am2023-93,"Abstract 93: An endogenous molecular brake preventing APOBEC-driven tumor mutational burden, heterogeneity and therapy resistance",journal-article
10.1158/1538-7445.am2023-5845,Abstract 5845: Periostin secreted by cancer-associated fibroblasts promotes cancer progression and drug resistance in non-small cell lung cancer,journal-article
10.1158/1538-7445.am2023-2748,Abstract 2748: Identifying therapeutic mechanism of action and new potential patient populations using PRISM,journal-article
10.1158/1538-7445.am2023-2218,Abstract 2218: The molecular mechanism underlying KRAS regulation on STK31 expression in pancreatic ductal adenocarcinoma,journal-article
10.1158/1538-7445.am2023-4179,Abstract 4179: Anal cancer risk factors and utilization of cancer preventive strategies in people living with HIV in Puerto Rico,journal-article
10.1158/1538-7445.am2023-4157,Abstract 4157: Tumor context dictates reliance on TCF1 for response to immunotherapy,journal-article
10.1158/1538-7445.am2023-227,Abstract 227: In vivo functional genomics screen to uncover tumor intrinsic negative regulators of NK cell-mediated tumor cell killing,journal-article
10.1158/1538-7445.am2023-4774,Abstract 4774: Adaptation to chronic oxidative stress promotes metabolic rewiring to maintain redox balance in HER2+ breast tumors,journal-article
10.1158/1538-7445.am2023-5321,Abstract 5321: Large scale pan cancer drug combination screening to identify effective and actionable combinations and biomarker hypothesis,journal-article
10.1158/1538-7445.am2023-3249,Abstract 3249: Circulating cytokine associations with clinical outcomes in melanoma patients treated with checkpoint inhibitors,journal-article
10.1158/1538-7445.am2023-3307,Abstract 3307: A novel targeted RNA sequencing approach for identification of aggressive prostate cancer,journal-article
10.1158/1538-7445.am2023-1165,Abstract 1165: Mechanisms of therapeutic resistance in pancreatic cancer identified by single-cell spatial transcriptomics and genetically-engineered stromal tumoroids,journal-article
10.1158/1538-7445.am2023-2373,Abstract 2373: Combination treatment with pH modulating drugs and immune checkpoint inhibitors increases TALL-104 cytotoxicity in preclinical co-culture experiments,journal-article
10.1158/1538-7445.am2023-2455,Abstract 2455: Investigating cancer stem cell plasticity in ovarian cancer,journal-article
10.1158/1538-7445.am2023-4312,Abstract 4312: Identification of shared mutations across many parallel human and canine cancers based on comprehensive survey of canine cancer mutations and the “caninization” of human mutations from COSMIC,journal-article
10.1158/1538-7445.am2023-4183,Abstract 4183: Employment status moderates the relationship between patient-provider communication and prostate cancer screening among Black men,journal-article
10.1158/1538-7445.am2023-5711,Abstract 5711: Blood-based early detection of non-small cell lung cancer using orphan noncoding RNAs,journal-article
